,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,cloud_cover_mean,surface_pressure_mean,temperature_2m_mean
0,2016-09-01,18.5,23.0,264,15,1012.8,26.0
1,2016-09-02,22.9,31.3,236,7,1012.1,25.8
2,2016-09-03,21.8,32.4,237,65,1011.0,25.3
3,2016-09-04,17.4,30.2,268,73,1010.0,26.2
4,2016-09-05,28.0,40.3,305,46,1010.9,26.8
5,2016-09-06,25.0,25.6,8,1,1010.5,26.7
6,2016-09-07,21.7,35.3,117,0,1010.1,23.3
7,2016-09-08,29.4,43.6,292,9,1008.1,23.4
8,2016-09-09,22.9,36.7,288,35,1007.4,25.4
9,2016-09-10,13.7,20.5,262,36,1007.7,25.0
10,2016-09-11,15.3,20.5,254,21,1008.3,25.2
11,2016-09-12,18.8,28.4,115,45,1009.4,23.8
12,2016-09-13,20.5,35.6,124,63,1007.1,23.3
13,2016-09-14,31.6,56.5,146,96,1003.3,20.4
14,2016-09-15,22.1,36.0,209,49,1005.3,18.5
15,2016-09-16,22.9,41.8,295,64,1008.0,19.6
16,2016-09-17,30.8,44.6,300,62,1010.5,18.8
17,2016-09-18,33.1,52.2,305,69,1008.8,18.3
18,2016-09-19,34.5,48.6,304,13,1008.5,20.4
19,2016-09-20,19.6,29.5,311,37,1006.9,19.9
20,2016-09-21,16.1,26.6,301,19,1007.9,19.0
21,2016-09-22,11.8,18.4,305,7,1012.3,18.6
22,2016-09-23,15.5,26.6,236,65,1016.2,18.8
23,2016-09-24,16.5,24.8,87,20,1015.8,19.1
24,2016-09-25,16.9,25.6,133,58,1013.7,18.9
25,2016-09-26,20.7,25.6,295,40,1012.8,19.8
26,2016-09-27,14.2,22.0,324,44,1016.2,19.8
27,2016-09-28,15.9,21.2,345,1,1021.3,20.1
28,2016-09-29,15.8,26.6,157,5,1018.7,18.9
29,2016-09-30,24.0,36.0,142,47,1012.2,19.3
30,2016-10-01,18.9,31.0,115,70,1006.7,19.1
31,2016-10-02,12.1,19.8,330,45,1009.2,18.0
32,2016-10-03,17.1,30.6,6,3,1014.5,17.5
33,2016-10-04,17.5,28.4,27,14,1014.1,17.4
34,2016-10-05,19.9,32.8,308,70,1011.6,17.2
35,2016-10-06,16.3,27.4,28,80,1005.9,14.0
36,2016-10-07,17.2,25.2,278,63,1007.0,14.3
37,2016-10-08,23.8,34.9,306,1,1010.4,15.8
